Source,Target,WeightRaw,Weight,network,EdgeType
DAO,DISEASE:Amyotrophic lateral sclerosis,5.0,0.21052631578947367,gene-disease,clinvar
FUS,DISEASE:Amyotrophic lateral sclerosis,2.0,0.05263157894736842,gene-disease,clinvar
HNRNPA1,DISEASE:not provided,4.0,0.15789473684210525,gene-disease,clinvar
KIF5A,"DISEASE:Amyotrophic lateral sclerosis, susceptibility to, 25",2.0,0.05263157894736842,gene-disease,clinvar
PFN1,DISEASE:not specified,3.0,0.10526315789473684,gene-disease,clinvar
PRPH,DISEASE:Amyotrophic lateral sclerosis,1.0,0.0,gene-disease,clinvar
TAF15,DISEASE:TAF15-related disorder,6.0,0.2631578947368421,gene-disease,clinvar
TUBA4A,DISEASE:Amyotrophic lateral sclerosis type 10,1.0,0.0,gene-disease,clinvar
DAO,DISEASE:DAO-related disorder,2.0,0.05263157894736842,gene-disease,clinvar
FIG4,DISEASE:Amyotrophic lateral sclerosis,4.0,0.15789473684210525,gene-disease,clinvar
FUS,DISEASE:Amyotrophic lateral sclerosis type 6,16.0,0.7894736842105263,gene-disease,clinvar
KIF5A,DISEASE:Spastic paraplegia,14.0,0.6842105263157895,gene-disease,clinvar
NEK1,DISEASE:Short-rib thoracic dysplasia 6 with or without polydactyly,6.0,0.2631578947368421,gene-disease,clinvar
TAF15,DISEASE:Amyotrophic lateral sclerosis,4.0,0.15789473684210525,gene-disease,clinvar
UNC13A,DISEASE:not provided,2.0,0.05263157894736842,gene-disease,clinvar
ERBB4,DISEASE:not specified,5.0,0.21052631578947367,gene-disease,clinvar
FIG4,DISEASE:Inborn genetic diseases,1.0,0.0,gene-disease,clinvar
NEK1,DISEASE:Amyotrophic lateral sclerosis,2.0,0.05263157894736842,gene-disease,clinvar
SPTLC1,"DISEASE:Amyotrophic lateral sclerosis 27, juvenile",6.0,0.2631578947368421,gene-disease,clinvar
TARDBP,"DISEASE:FRONTOTEMPORAL LOBAR DEGENERATION WITH TDP43 INCLUSIONS, TARDBP-RELATED",8.0,0.3684210526315789,gene-disease,clinvar
TBK1,DISEASE:Frontotemporal dementia and/or amyotrophic lateral sclerosis 4,20.0,1.0,gene-disease,clinvar
TUBA4A,DISEASE:not provided,3.0,0.10526315789473684,gene-disease,clinvar
VAPB,DISEASE:Amyotrophic lateral sclerosis type 8,14.0,0.6842105263157895,gene-disease,clinvar
ANXA11,DISEASE:ANXA11-related disorder,1.0,0.0,gene-disease,clinvar
ATXN2,DISEASE:Amyotrophic lateral sclerosis,2.0,0.05263157894736842,gene-disease,clinvar
DAO,DISEASE:not provided,1.0,0.0,gene-disease,clinvar
DCTN1,DISEASE:Amyotrophic lateral sclerosis type 1,20.0,1.0,gene-disease,clinvar
FIG4,DISEASE:Amyotrophic lateral sclerosis type 11,8.0,0.3684210526315789,gene-disease,clinvar
FIG4,DISEASE:Charcot-Marie-Tooth disease type 4J,1.0,0.0,gene-disease,clinvar
KIF5A,DISEASE:not provided,2.0,0.05263157894736842,gene-disease,clinvar
PRPH,DISEASE:not provided,1.0,0.0,gene-disease,clinvar
SQSTM1,DISEASE:Frontotemporal dementia and/or amyotrophic lateral sclerosis 1,20.0,1.0,gene-disease,clinvar
FUS,"DISEASE:Tremor, hereditary essential, 4",1.0,0.0,gene-disease,clinvar
C9orf72,DISEASE:Amyotrophic lateral sclerosis,2.0,0.05263157894736842,gene-disease,clinvar
CCNF,DISEASE:Frontotemporal dementia and/or amyotrophic lateral sclerosis 5,11.0,0.5263157894736842,gene-disease,clinvar
CYLD,DISEASE:Frontotemporal dementia and/or amyotrophic lateral sclerosis 8,16.0,0.7894736842105263,gene-disease,clinvar
FUS,DISEASE:not specified,1.0,0.0,gene-disease,clinvar
NEFH,DISEASE:Charcot-Marie-Tooth disease axonal type 2CC,1.0,0.0,gene-disease,clinvar
