Source,Target,Weight
ALS2,Adipose Subcutaneous,10.1134
ALS2,Adipose Visceral Omentum,8.58557
ALS2,Adrenal Gland,5.5386
ALS2,Artery Aorta,10.2901
ALS2,Artery Coronary,9.76554
ALS2,Artery Tibial,9.2319
ALS2,Bladder,9.54999
ALS2,Brain Amygdala,4.44524
ALS2,Brain Anterior cingulate cortex BA24,6.31968
ALS2,Brain Caudate basal ganglia,5.53815
ALS2,Brain Cerebellar Hemisphere,126.825
ALS2,Brain Cerebellum,115.555
ALS2,Brain Cortex,11.3145
ALS2,Brain Frontal Cortex BA9,11.3338
ALS2,Brain Hippocampus,5.69022
ALS2,Brain Hypothalamus,6.48496
ALS2,Brain Nucleus accumbens basal ganglia,6.1773
ALS2,Brain Putamen basal ganglia,4.67472
ALS2,Brain Spinal cord cervical c-1,7.584860000000001
ALS2,Brain Substantia nigra,5.1866
ALS2,Breast Mammary Tissue,9.43011
ALS2,Cells Cultured fibroblasts,15.9472
ALS2,Cells EBV-transformed lymphocytes,6.08345
ALS2,Cervix Ectocervix,11.1516
ALS2,Cervix Endocervix,12.0242
ALS2,Colon Sigmoid,9.2739
ALS2,Colon Transverse,5.8756
ALS2,Esophagus Gastroesophageal Junction,8.76385
ALS2,Esophagus Mucosa,5.22313
ALS2,Esophagus Muscularis,8.600769999999999
ALS2,Fallopian Tube,11.4029
ALS2,Heart Atrial Appendage,8.16582
ALS2,Heart Left Ventricle,7.13766
ALS2,Kidney Cortex,5.5909699999999996
ALS2,Kidney Medulla,7.83385
ALS2,Liver,7.19753
ALS2,Lung,11.0118
ALS2,Minor Salivary Gland,6.77129
ALS2,Muscle Skeletal,8.13682
ALS2,Nerve Tibial,18.7931
ALS2,Ovary,10.3013
ALS2,Pancreas,2.93055
ALS2,Pituitary,14.899000000000001
ALS2,Prostate,9.0906
ALS2,Skin Not Sun Exposed Suprapubic,8.32804
ALS2,Skin Sun Exposed Lower leg,9.27988
ALS2,Small Intestine Terminal Ileum,8.27079
ALS2,Spleen,6.91621
ALS2,Stomach,6.47867
ALS2,Testis,9.2558
ALS2,Thyroid,11.3803
ALS2,Uterus,12.4331
ALS2,Vagina,8.75653
ALS2,Whole Blood,0.9914040000000001
ANG,Adipose Subcutaneous,47.2942
ANG,Adipose Visceral Omentum,44.9404
ANG,Adrenal Gland,2.90718
ANG,Artery Aorta,53.4138
ANG,Artery Coronary,40.8274
ANG,Artery Tibial,46.325
ANG,Bladder,38.181
ANG,Brain Amygdala,1.36175
ANG,Brain Anterior cingulate cortex BA24,1.33256
ANG,Brain Caudate basal ganglia,1.5046700000000002
ANG,Brain Cerebellar Hemisphere,1.1074899999999999
ANG,Brain Cerebellum,1.40654
ANG,Brain Cortex,1.20688
ANG,Brain Frontal Cortex BA9,1.04609
ANG,Brain Hippocampus,1.59277
ANG,Brain Hypothalamus,1.58907
ANG,Brain Nucleus accumbens basal ganglia,1.6057
ANG,Brain Putamen basal ganglia,1.3334
ANG,Brain Spinal cord cervical c-1,3.2166200000000003
ANG,Brain Substantia nigra,1.8766
ANG,Breast Mammary Tissue,50.9571
ANG,Cells Cultured fibroblasts,15.3097
ANG,Cells EBV-transformed lymphocytes,2.8768700000000003
ANG,Cervix Ectocervix,59.3022
ANG,Cervix Endocervix,61.8642
ANG,Colon Sigmoid,30.0579
ANG,Colon Transverse,33.4381
ANG,Esophagus Gastroesophageal Junction,32.9996
ANG,Esophagus Mucosa,9.69368
ANG,Esophagus Muscularis,26.7647
ANG,Fallopian Tube,56.1944
ANG,Heart Atrial Appendage,10.581
ANG,Heart Left Ventricle,3.45497
ANG,Kidney Cortex,10.5742
ANG,Kidney Medulla,7.72279
ANG,Liver,726.803
ANG,Lung,28.623
ANG,Minor Salivary Gland,53.1289
ANG,Muscle Skeletal,2.98253
ANG,Nerve Tibial,48.2723
ANG,Ovary,91.0703
ANG,Pancreas,14.6331
ANG,Pituitary,6.78857
ANG,Prostate,46.2147
ANG,Skin Not Sun Exposed Suprapubic,31.916999999999998
ANG,Skin Sun Exposed Lower leg,34.1244
ANG,Small Intestine Terminal Ileum,28.6714
ANG,Spleen,8.36468
ANG,Stomach,42.7231
ANG,Testis,17.6262
ANG,Thyroid,15.1833
ANG,Uterus,51.5241
ANG,Vagina,46.6646
ANG,Whole Blood,6.4141
ANXA11,Adipose Subcutaneous,103.601
ANXA11,Adipose Visceral Omentum,66.2591
ANXA11,Adrenal Gland,16.2904
ANXA11,Artery Aorta,126.414
ANXA11,Artery Coronary,99.3536
ANXA11,Artery Tibial,113.417
ANXA11,Bladder,76.5129
ANXA11,Brain Amygdala,15.7792
ANXA11,Brain Anterior cingulate cortex BA24,21.708000000000002
ANXA11,Brain Caudate basal ganglia,19.9625
ANXA11,Brain Cerebellar Hemisphere,25.9798
ANXA11,Brain Cerebellum,24.4097
ANXA11,Brain Cortex,29.4999
ANXA11,Brain Frontal Cortex BA9,30.665
ANXA11,Brain Hippocampus,13.7183
ANXA11,Brain Hypothalamus,6.593030000000001
ANXA11,Brain Nucleus accumbens basal ganglia,21.043000000000003
ANXA11,Brain Putamen basal ganglia,14.055
ANXA11,Brain Spinal cord cervical c-1,10.8245
ANXA11,Brain Substantia nigra,8.686860000000001
ANXA11,Breast Mammary Tissue,74.4464
ANXA11,Cells Cultured fibroblasts,76.5178
ANXA11,Cells EBV-transformed lymphocytes,71.8725
ANXA11,Cervix Ectocervix,72.509
ANXA11,Cervix Endocervix,66.2615
ANXA11,Colon Sigmoid,62.7496
ANXA11,Colon Transverse,64.3444
ANXA11,Esophagus Gastroesophageal Junction,73.9977
ANXA11,Esophagus Mucosa,104.421
ANXA11,Esophagus Muscularis,74.5797
ANXA11,Fallopian Tube,68.3936
ANXA11,Heart Atrial Appendage,65.9137
ANXA11,Heart Left Ventricle,62.2579
ANXA11,Kidney Cortex,47.6067
ANXA11,Kidney Medulla,71.67699999999999
ANXA11,Liver,12.1989
ANXA11,Lung,84.441
ANXA11,Minor Salivary Gland,55.7321
ANXA11,Muscle Skeletal,48.0646
ANXA11,Nerve Tibial,69.1235
ANXA11,Ovary,59.0285
ANXA11,Pancreas,24.0902
ANXA11,Pituitary,21.0549
ANXA11,Prostate,66.7959
ANXA11,Skin Not Sun Exposed Suprapubic,43.7061
ANXA11,Skin Sun Exposed Lower leg,52.198
ANXA11,Small Intestine Terminal Ileum,68.2412
ANXA11,Spleen,52.3466
ANXA11,Stomach,58.0711
ANXA11,Testis,18.4901
ANXA11,Thyroid,56.9878
ANXA11,Uterus,64.5467
ANXA11,Vagina,79.2602
ANXA11,Whole Blood,92.0807
ATXN2,Adipose Subcutaneous,20.9266
ATXN2,Adipose Visceral Omentum,17.4722
ATXN2,Adrenal Gland,19.2362
ATXN2,Artery Aorta,22.0792
ATXN2,Artery Coronary,22.4908
ATXN2,Artery Tibial,26.8009
ATXN2,Bladder,24.1303
ATXN2,Brain Amygdala,10.001
ATXN2,Brain Anterior cingulate cortex BA24,12.3008
ATXN2,Brain Caudate basal ganglia,11.7204
ATXN2,Brain Cerebellar Hemisphere,29.5922
ATXN2,Brain Cerebellum,33.0979
ATXN2,Brain Cortex,17.8165
ATXN2,Brain Frontal Cortex BA9,17.0481
ATXN2,Brain Hippocampus,10.8997
ATXN2,Brain Hypothalamus,14.5234
ATXN2,Brain Nucleus accumbens basal ganglia,12.5554
ATXN2,Brain Putamen basal ganglia,9.34056
ATXN2,Brain Spinal cord cervical c-1,18.4664
ATXN2,Brain Substantia nigra,12.3474
ATXN2,Breast Mammary Tissue,18.2866
ATXN2,Cells Cultured fibroblasts,22.601999999999997
ATXN2,Cells EBV-transformed lymphocytes,15.8544
ATXN2,Cervix Ectocervix,28.2621
ATXN2,Cervix Endocervix,30.3729
ATXN2,Colon Sigmoid,24.6884
ATXN2,Colon Transverse,15.2159
ATXN2,Esophagus Gastroesophageal Junction,21.1918
ATXN2,Esophagus Mucosa,11.4874
ATXN2,Esophagus Muscularis,21.3003
ATXN2,Fallopian Tube,29.2651
ATXN2,Heart Atrial Appendage,11.0027
ATXN2,Heart Left Ventricle,8.20554
ATXN2,Kidney Cortex,10.2799
ATXN2,Kidney Medulla,12.8749
ATXN2,Liver,8.94925
ATXN2,Lung,24.2633
ATXN2,Minor Salivary Gland,14.3377
ATXN2,Muscle Skeletal,9.68393
ATXN2,Nerve Tibial,33.7462
ATXN2,Ovary,36.2383
ATXN2,Pancreas,5.36489
ATXN2,Pituitary,26.7272
ATXN2,Prostate,25.6947
ATXN2,Skin Not Sun Exposed Suprapubic,12.4155
ATXN2,Skin Sun Exposed Lower leg,14.4731
ATXN2,Small Intestine Terminal Ileum,13.5499
ATXN2,Spleen,14.5293
ATXN2,Stomach,11.7011
ATXN2,Testis,29.8345
ATXN2,Thyroid,23.7561
ATXN2,Uterus,30.5382
ATXN2,Vagina,23.8771
ATXN2,Whole Blood,4.04825
C9orf72,Adipose Subcutaneous,13.135
C9orf72,Adipose Visceral Omentum,13.1242
C9orf72,Adrenal Gland,6.5781600000000005
C9orf72,Artery Aorta,12.5193
C9orf72,Artery Coronary,11.8563
C9orf72,Artery Tibial,14.4173
C9orf72,Bladder,11.8444
C9orf72,Brain Amygdala,4.809819999999999
C9orf72,Brain Anterior cingulate cortex BA24,6.45563
C9orf72,Brain Caudate basal ganglia,5.53444
C9orf72,Brain Cerebellar Hemisphere,49.1738
C9orf72,Brain Cerebellum,47.383
C9orf72,Brain Cortex,8.20899
C9orf72,Brain Frontal Cortex BA9,10.5689
C9orf72,Brain Hippocampus,5.62478
C9orf72,Brain Hypothalamus,11.3207
C9orf72,Brain Nucleus accumbens basal ganglia,6.30651
C9orf72,Brain Putamen basal ganglia,4.13515
C9orf72,Brain Spinal cord cervical c-1,11.7024
C9orf72,Brain Substantia nigra,7.21612
C9orf72,Breast Mammary Tissue,13.0285
C9orf72,Cells Cultured fibroblasts,4.57104
C9orf72,Cells EBV-transformed lymphocytes,6.1424
C9orf72,Cervix Ectocervix,13.2353
C9orf72,Cervix Endocervix,20.81
C9orf72,Colon Sigmoid,12.0527
C9orf72,Colon Transverse,7.94377
C9orf72,Esophagus Gastroesophageal Junction,10.6035
C9orf72,Esophagus Mucosa,7.097239999999999
C9orf72,Esophagus Muscularis,9.81731
C9orf72,Fallopian Tube,27.8938
C9orf72,Heart Atrial Appendage,5.85259
C9orf72,Heart Left Ventricle,3.50273
C9orf72,Kidney Cortex,3.3491
C9orf72,Kidney Medulla,5.81196
C9orf72,Liver,3.7307900000000003
C9orf72,Lung,28.2207
C9orf72,Minor Salivary Gland,7.4336
C9orf72,Muscle Skeletal,6.0789800000000005
C9orf72,Nerve Tibial,15.4079
C9orf72,Ovary,35.3974
C9orf72,Pancreas,3.9668099999999997
C9orf72,Pituitary,20.2531
C9orf72,Prostate,13.5535
C9orf72,Skin Not Sun Exposed Suprapubic,10.8194
C9orf72,Skin Sun Exposed Lower leg,10.5028
C9orf72,Small Intestine Terminal Ileum,10.5509
C9orf72,Spleen,21.9506
C9orf72,Stomach,7.23008
C9orf72,Testis,13.8928
C9orf72,Thyroid,22.5634
C9orf72,Uterus,17.6473
C9orf72,Vagina,12.7158
C9orf72,Whole Blood,18.0283
CCNF,Adipose Subcutaneous,1.6041
CCNF,Adipose Visceral Omentum,1.66668
CCNF,Adrenal Gland,1.48046
CCNF,Artery Aorta,0.955382
CCNF,Artery Coronary,1.15792
CCNF,Artery Tibial,0.6299100000000001
CCNF,Bladder,2.45245
CCNF,Brain Amygdala,1.82682
CCNF,Brain Anterior cingulate cortex BA24,2.4698700000000002
CCNF,Brain Caudate basal ganglia,1.52797
