Id,Label,node_type
FUS,FUS,gene
ANXA11,ANXA11,gene
DCTN1,DCTN1,gene
MOBP,MOBP,gene
ATXN2,ATXN2,gene
SCFD1,SCFD1,gene
ELP3,ELP3,gene
TAF15,TAF15,gene
KIF5A,KIF5A,gene
TBK1,TBK1,gene
SIGMAR1,SIGMAR1,gene
VCP,VCP,gene
FGGY,FGGY,gene
HNRNPA1,HNRNPA1,gene
SETX,SETX,gene
FIG4,FIG4,gene
PRPH,PRPH,gene
UBQLN2,UBQLN2,gene
PFN1,PFN1,gene
SOD1,SOD1,gene
CCNF,CCNF,gene
NEFH,NEFH,gene
OPTN,OPTN,gene
SQSTM1,SQSTM1,gene
CHMP2B,CHMP2B,gene
C9orf72,C9orf72,gene
DAO,DAO,gene
LRP12,LRP12,gene
SPTLC1,SPTLC1,gene
UNC13A,UNC13A,gene
CHCHD10,CHCHD10,gene
SPG11,SPG11,gene
TARDBP,TARDBP,gene
ALS2,ALS2,gene
ANG,ANG,gene
CYLD,CYLD,gene
TIA1,TIA1,gene
TUBA4A,TUBA4A,gene
UBQLN4,UBQLN4,gene
VAPB,VAPB,gene
ERBB4,ERBB4,gene
NEK1,NEK1,gene
TMEM106B,TMEM106B,gene
TRPM7,TRPM7,gene
Cells EBV-transformed lymphocytes,Cells EBV-transformed lymphocytes,tissue
Uterus,Uterus,tissue
Bladder,Bladder,tissue
Brain Cerebellar Hemisphere,Brain Cerebellar Hemisphere,tissue
Pituitary,Pituitary,tissue
Brain Cerebellum,Brain Cerebellum,tissue
Colon Sigmoid,Colon Sigmoid,tissue
Esophagus Gastroesophageal Junction,Esophagus Gastroesophageal Junction,tissue
Vagina,Vagina,tissue
Adipose Subcutaneous,Adipose Subcutaneous,tissue
Brain Putamen basal ganglia,Brain Putamen basal ganglia,tissue
Brain Substantia nigra,Brain Substantia nigra,tissue
Cervix Endocervix,Cervix Endocervix,tissue
Colon Transverse,Colon Transverse,tissue
Lung,Lung,tissue
Skin Not Sun Exposed Suprapubic,Skin Not Sun Exposed Suprapubic,tissue
Testis,Testis,tissue
Whole Blood,Whole Blood,tissue
Brain Cortex,Brain Cortex,tissue
Brain Spinal cord cervical c-1,Brain Spinal cord cervical c-1,tissue
Cervix Ectocervix,Cervix Ectocervix,tissue
Heart Left Ventricle,Heart Left Ventricle,tissue
Kidney Cortex,Kidney Cortex,tissue
Spleen,Spleen,tissue
Adrenal Gland,Adrenal Gland,tissue
Artery Coronary,Artery Coronary,tissue
Artery Tibial,Artery Tibial,tissue
Brain Nucleus accumbens basal ganglia,Brain Nucleus accumbens basal ganglia,tissue
Brain Anterior cingulate cortex BA24,Brain Anterior cingulate cortex BA24,tissue
Brain Caudate basal ganglia,Brain Caudate basal ganglia,tissue
Cells Cultured fibroblasts,Cells Cultured fibroblasts,tissue
Esophagus Mucosa,Esophagus Mucosa,tissue
Brain Frontal Cortex BA9,Brain Frontal Cortex BA9,tissue
Kidney Medulla,Kidney Medulla,tissue
Fallopian Tube,Fallopian Tube,tissue
Small Intestine Terminal Ileum,Small Intestine Terminal Ileum,tissue
Thyroid,Thyroid,tissue
Brain Hypothalamus,Brain Hypothalamus,tissue
Breast Mammary Tissue,Breast Mammary Tissue,tissue
Pancreas,Pancreas,tissue
Skin Sun Exposed Lower leg,Skin Sun Exposed Lower leg,tissue
Adipose Visceral Omentum,Adipose Visceral Omentum,tissue
Minor Salivary Gland,Minor Salivary Gland,tissue
Muscle Skeletal,Muscle Skeletal,tissue
Brain Amygdala,Brain Amygdala,tissue
Esophagus Muscularis,Esophagus Muscularis,tissue
Ovary,Ovary,tissue
Artery Aorta,Artery Aorta,tissue
Brain Hippocampus,Brain Hippocampus,tissue
Liver,Liver,tissue
Heart Atrial Appendage,Heart Atrial Appendage,tissue
Nerve Tibial,Nerve Tibial,tissue
Prostate,Prostate,tissue
Stomach,Stomach,tissue
