Source,Target,Weight,EdgeType
CYLD,DISEASE:Familial cylindromatosis,3.0,clinvar
ERBB4,DISEASE:Amyotrophic lateral sclerosis,1.0,clinvar
NEFH,DISEASE:NEFH-related disorder,1.0,clinvar
NEK1,DISEASE:Amyotrophic lateral sclerosis type 1,1.0,clinvar
ALS2,DISEASE:Infantile-onset ascending hereditary spastic paralysis,20.0,clinvar
DAO,DISEASE:not provided,1.0,clinvar
DCTN1,DISEASE:Amyotrophic lateral sclerosis type 1,20.0,clinvar
FIG4,DISEASE:Amyotrophic lateral sclerosis type 11,8.0,clinvar
FIG4,DISEASE:Charcot-Marie-Tooth disease type 4J,1.0,clinvar
KIF5A,DISEASE:not provided,2.0,clinvar
PRPH,DISEASE:not provided,1.0,clinvar
SQSTM1,DISEASE:Frontotemporal dementia and/or amyotrophic lateral sclerosis 1,20.0,clinvar
TRPM7,DISEASE:not specified,12.0,clinvar
HNRNPA1,DISEASE:Inclusion body myopathy with early-onset Paget disease with or without frontotemporal dementia 3,5.0,clinvar
PFN1,DISEASE:not provided,5.0,clinvar
SPTLC1,DISEASE:not provided,2.0,clinvar
ANXA11,DISEASE:Amyotrophic lateral sclerosis type 23,6.0,clinvar
TUBA4A,DISEASE:Ptosis,1.0,clinvar
CHMP2B,DISEASE:Amyotrophic lateral sclerosis,1.0,clinvar
CHMP2B,DISEASE:Frontotemporal dementia and/or amyotrophic lateral sclerosis 7,19.0,clinvar
NEK1,"DISEASE:Amyotrophic lateral sclerosis, susceptibility to, 24",9.0,clinvar
NEK1,DISEASE:not provided,1.0,clinvar
PRPH,DISEASE:Amyotrophic lateral sclerosis type 10,1.0,clinvar
SCFD1,DISEASE:Amyotrophic lateral sclerosis,2.0,clinvar
SIGMAR1,DISEASE:Amyotrophic lateral sclerosis type 16,10.0,clinvar
TUBA4A,DISEASE:Amyotrophic lateral sclerosis,1.0,clinvar
C9orf72,DISEASE:Amyotrophic lateral sclerosis,2.0,clinvar
CCNF,DISEASE:Frontotemporal dementia and/or amyotrophic lateral sclerosis 5,11.0,clinvar
CYLD,DISEASE:Frontotemporal dementia and/or amyotrophic lateral sclerosis 8,16.0,clinvar
FUS,DISEASE:not specified,1.0,clinvar
NEFH,DISEASE:Charcot-Marie-Tooth disease axonal type 2CC,1.0,clinvar
SOD1,DISEASE:Amyotrophic lateral sclerosis type 1,19.0,clinvar
SOD1,DISEASE:not specified,1.0,clinvar
TARDBP,DISEASE:Amyotrophic lateral sclerosis type 10,11.0,clinvar
ANG,DISEASE:not provided,8.0,clinvar
C9orf72,DISEASE:Frontotemporal dementia and/or amyotrophic lateral sclerosis 1,16.0,clinvar
ELP3,DISEASE:Amyotrophic lateral sclerosis,1.0,clinvar
PFN1,DISEASE:Amyotrophic lateral sclerosis,2.0,clinvar
PRPH,DISEASE:Amyotrophic lateral sclerosis type 1,8.0,clinvar
PRPH,DISEASE:not specified,6.0,clinvar
SPTLC1,"DISEASE:Neuropathy, hereditary sensory and autonomic, type 1A",4.0,clinvar
SPTLC1,DISEASE:Amyotrophic lateral sclerosis,1.0,clinvar
TARDBP,DISEASE:Inclusion body myositis,1.0,clinvar
TIA1,DISEASE:Amyotrophic lateral sclerosis 26 with or without frontotemporal dementia,2.0,clinvar
TRPM7,DISEASE:Amyotrophic lateral sclerosis-parkinsonism-dementia complex,8.0,clinvar
CHCHD10,DISEASE:Lower motor neuron syndrome with late-adult onset,19.0,clinvar
CHCHD10,DISEASE:Frontotemporal dementia and/or amyotrophic lateral sclerosis 2,1.0,clinvar
ERBB4,DISEASE:Amyotrophic lateral sclerosis type 19,7.0,clinvar
KIF5A,"DISEASE:Myoclonus, intractable, neonatal",1.0,clinvar
MOBP,DISEASE:Amyotrophic lateral sclerosis,1.0,clinvar
SPTLC1,DISEASE:Proximal lower limb amyotrophy,1.0,clinvar
ANG,DISEASE:not specified,1.0,clinvar
ANG,DISEASE:Amyotrophic lateral sclerosis type 9,10.0,clinvar
ANXA11,DISEASE:Amyotrophic lateral sclerosis,1.0,clinvar
DAO,DISEASE:DAO-related disorder,2.0,clinvar
FIG4,DISEASE:Amyotrophic lateral sclerosis,4.0,clinvar
FUS,DISEASE:Amyotrophic lateral sclerosis type 6,16.0,clinvar
KIF5A,DISEASE:Spastic paraplegia,14.0,clinvar
NEK1,DISEASE:Short-rib thoracic dysplasia 6 with or without polydactyly,6.0,clinvar
TAF15,DISEASE:Amyotrophic lateral sclerosis,4.0,clinvar
UNC13A,DISEASE:not provided,2.0,clinvar
C9orf72,DISEASE:not provided,2.0,clinvar
CCNF,DISEASE:Amyotrophic lateral sclerosis,4.0,clinvar
CFAP410,DISEASE:Amyotrophic lateral sclerosis,1.0,clinvar
SIGMAR1,DISEASE:Autosomal recessive distal spinal muscular atrophy 2,10.0,clinvar
TIA1,DISEASE:not provided,3.0,clinvar
ANG,DISEASE:Amyotrophic lateral sclerosis,1.0,clinvar
FIG4,DISEASE:Charcot-Marie-Tooth disease type 4,4.0,clinvar
NEFH,DISEASE:not provided,9.0,clinvar
OPTN,DISEASE:Primary open angle glaucoma,12.0,clinvar
SETX,"DISEASE:Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 2",20.0,clinvar
