Id,Label,node_type,term_type,term_name
FUS,FUS,gene,,
SIGMAR1,SIGMAR1,gene,,
VCP,VCP,gene,,
CHMP2B,CHMP2B,gene,,
ATXN2,ATXN2,gene,,
SCFD1,SCFD1,gene,,
PFN1,PFN1,gene,,
SOD1,SOD1,gene,,
C9orf72,C9orf72,gene,,
DAO,DAO,gene,,
MATR3,MATR3,gene,,
ALS2,ALS2,gene,,
ANG,ANG,gene,,
CYLD,CYLD,gene,,
TIA1,TIA1,gene,,
TUBA4A,TUBA4A,gene,,
UBQLN4,UBQLN4,gene,,
VAPB,VAPB,gene,,
CCNF,CCNF,gene,,
NEFH,NEFH,gene,,
OPTN,OPTN,gene,,
SQSTM1,SQSTM1,gene,,
LRP12,LRP12,gene,,
SPTLC1,SPTLC1,gene,,
UNC13A,UNC13A,gene,,
CHCHD10,CHCHD10,gene,,
SPG11,SPG11,gene,,
TARDBP,TARDBP,gene,,
ERBB4,ERBB4,gene,,
NEK1,NEK1,gene,,
TMEM106B,TMEM106B,gene,,
TRPM7,TRPM7,gene,,
ANXA11,ANXA11,gene,,
DCTN1,DCTN1,gene,,
MOBP,MOBP,gene,,
FIG4,FIG4,gene,,
PRPH,PRPH,gene,,
UBQLN2,UBQLN2,gene,,
CFAP410,CFAP410,gene,,
ELP3,ELP3,gene,,
TAF15,TAF15,gene,,
KIF5A,KIF5A,gene,,
TBK1,TBK1,gene,,
FGGY,FGGY,gene,,
HNRNPA1,HNRNPA1,gene,,
SETX,SETX,gene,,
GO:0005096,GTPase activator activity,annotation,go_term,GTPase activator activity
GO:0042803,protein homodimerization activity,annotation,go_term,protein homodimerization activity
GO:0051036,regulation of endosome size,annotation,go_term,regulation of endosome size
GO:0005739,mitochondrion,annotation,go_term,mitochondrion
R-HSA-5357905,Regulation of TNFR1 signaling,annotation,pathway,Regulation of TNFR1 signaling
R-HSA-936440,Negative regulators of DDX58/IFIH1 signaling,annotation,pathway,Negative regulators of DDX58/IFIH1 signaling
GO:0030496,midbody,annotation,go_term,midbody
IPR038765,Papain-like cysteine peptidase superfamily,annotation,domain,Papain-like cysteine peptidase superfamily
GO:0002098,tRNA wobble uridine modification,annotation,go_term,tRNA wobble uridine modification
