Source,Target,Weight,Database,QueryCoverage,EValue,SeqIdentity,AlnLength
ALS2,A0A0B5J965_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000,1.0,afdb-swissprot,0.14423657211828605,6.939e-13,0.248,245
ALS2,A0A2U7UGC8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,1.0,afdb-swissprot,0.21363910681955342,5.917e-14,0.195,363
ALS2,A0A2H4UVW6_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,1.0,afdb-swissprot,0.14302957151478576,1.234e-11,0.259,239
ALS2,A0A481Z824_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.1327700663850332,6.734e-12,0.263,247
ALS2,A0A6J5KT19_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,1.0,afdb-swissprot,0.40374170187085096,1.292e-10,0.115,690
ALS2,S4W1R1_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,1.0,afdb-swissprot,0.20217260108630053,1.262e-13,0.215,353
ALS2,A0A6J5KKT8_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,1.0,afdb-swissprot,0.41339770669885334,3.703e-11,0.11900000000000001,717
ALS2,S4VVK9_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,1.0,afdb-swissprot,0.12371756185878093,3.876e-10,0.23800000000000002,222
ALS2,A0A481YTH4_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,1.0,afdb-swissprot,0.41098370549185276,9.913e-11,0.106,702
ALS2,A0A2H4UU12_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,1.0,afdb-swissprot,0.15208207604103802,3.433e-11,0.23800000000000002,285
ALS2,S4W1V1_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,1.0,afdb-swissprot,0.1550995775497888,2.84e-11,0.205,292
ALS2,A0A481Z3Z5_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,1.0,afdb-swissprot,0.412190706095353,7.898e-11,0.11699999999999999,734
ALS2,A0A4D5XF20_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,1.0,afdb-swissprot,0.1792395896197948,2.633e-11,0.22699999999999998,312
